original_sentence,new_sentence,entity,start_idx,end_idx
"Playing baseball is a sport, and climbing mountains is a sport, too.","Playing baseball is a sport, and climbing mountains is a sport, too.",,,
I would go to the mountains when young.,I would go to the Mounta Kilimanjaro when young.,Mount Kilimanjaro,18.0,36.0
Did you know that some foxes lived on this mountain?,Did you know that some foxes lived on this Mount Fuji?,Mount Fuji,43.0,53.0
The air is rare on high mountains.,The air is rare on high Denali.,Denali,24.0,30.0
This dog is trained to save people in the mountains.,This dog is trained to save people in the Mont Blaunc.,Mont Blanc,42.0,53.0
Tom loves to climb mountains.,Tom loves to climb mountains.,,,
The two mountains are of equal height.,The two Puncak Jaya are of equal height.,Puncak Jaya,8.0,19.0
We call the mountain Tsurugidake.,We call the Puncak Jaya Tsurugidake.,Puncak Jaya,12.0,23.0
Your mother will probably object to your climbing the mountain.,Your mother will probably object to your climbing the Kn2.,K2,54.0,57.0
The air is very pure in the mountains.,The air is very pure in the yMount Kilimanjaro.,Mount Kilimanjaro,28.0,46.0
I don't like my brother climbing the mountains.,I don't like my brother climbing the Makalu.,Makalu,37.0,43.0
"With winter coming on, the mountains will soon be covered with snow.","With winter coming on, the K2 will soon be covered with snow.",K2,27.0,29.0
What is the height of this mountain?,What is the height of this Mount Aconcagua?,Mount Aconcagua,27.0,42.0
The mountains in this part of the country are full of variety.,The mountains in this part of the country are full of variety.,,,
The mountains look nicer from a distance.,The Mount Everest look nicer from a distance.,Mount Everest,4.0,17.0
I think it's dangerous to climb that mountain alone.,I think it's dangerous to climb that Mount Everest alone.,Mount Everest,37.0,50.0
The sun descended behind the mountains.,The sun descended behind the Mount bKilimanjaro.,Mount Kilimanjaro,29.0,47.0
My brother loves taking pictures of mountains.,My brother loves taking pictures of Mount Rainier.,Mount Rainier,36.0,49.0
The mountains were all around the city.,The Mount Everest were all around the city.,Mount Everest,4.0,17.0
I went to Nagano to take pictures of the mountains covered with snow.,I went to Nagano to take pictures of the Denali covered with snow.,Denali,41.0,47.0
Some snow-covered mountains were seen in the distance.,Some snow-covered Annapurna were seen in the distance.,Annapurna,18.0,27.0
This mountain path ascends to the beautiful lake.,This mountain path ascends to the beautiful lake.,,,
The mountain used to send out clouds of smoke.,The Mount Kilimanjaro used to send out clouds of smoke.,Mount Kilimanjaro,4.0,21.0
I like climbing mountains.,I like climbing Matterhorn.,Matterhorn,16.0,26.0
"I know you must be buried in your mountain of mails, but I wonder if I can hear from you regarding the mail I sent you last week?","I know you must be buried in your Denali of mails, but I wonder if I can hear from you regarding the mail I sent you last week?",Denali,34.0,40.0
Betty has climbed the mountain three times.,Betty has climbed the Kangchenjunga three times.,Kangchenjunga,22.0,35.0
We headed for the mountain cottage.,We headed for the Cho Oyu cottage.,Cho Oyu,18.0,25.0
We're taking a crash course in first aid before our two-week trek through the mountains.,We're taking a crash course in first aid before our two-week trek through the Annapurna.,Annapurna,78.0,87.0
The mountains lay covered with deep snow.,The Annapurna lay covered with deep snow.,Annapurna,4.0,13.0
The girl is getting over mountains of difficulties.,The girl is getting over Mount Rainier of difficulties.,Mount Rainier,25.0,38.0
A vast forest covers the mountains.,A vast forest covers the K2.,K2,25.0,27.0
"Which do you like better, the sea or the mountains?","Which do you like better, the sea or the mountains?",,,
Everything in the fields and mountains looks fresh when spring comes.,Everything in the fields and Mount Vinson looks fresh when spring comes.,Mount Vinson,29.0,41.0
I built a new house in view of the mountain.,I built a new house in view of the Nanga Parbat.,Nanga Parbat,35.0,47.0
Flat land has no mountains or hills.,Flat land has no Pico de Orizaba or hills.,Pico de Orizaba,17.0,32.0
The black and white bears living in the mountains of China and Tibet are called pandas.,The black and white bears living in the Cho Oyu of China and Tibet are called pandas.,Cho Oyu,40.0,47.0
It was so nice a day that we went for a hike in the mountains.,It was so nice a day that we went for a hike in the Makalu.,Makalu,52.0,58.0
You'll see a lot of high mountains through the window.,You'll see a lot of high Lhotse through the window.,Lhotse,25.0,31.0
It is warmer over the mountains.,It is warmer over the Kangchenjunga.,Kangchenjunga,22.0,35.0
I am going to write about our parks and mountains.,I am going to write about our parks and K2.,K2,40.0,42.0
The mountains have brought forth a mouse.,The Mount Rainier have brought forth a mouse.,Mount Rainier,4.0,17.0
I would rather go to the mountains than to the beach.,I would rather go to the Kangchenjunga than to the beach.,Kangchenjunga,25.0,38.0
That mountain is covered with snow.,That Mount Fuji is covered with snow.,Mount Fuji,5.0,15.0
Climbing this mountain is very difficult.,Climbing this Mount Fuji is very difficult.,Mount Fuji,14.0,24.0
Japan has a lot of beautiful mountains.,Japan has a lot of beautiful Mont Blanc.,Mont Blanc,29.0,39.0
John would often go mountain climbing when he was a student.,John would often go mountain climbing when he was a student.,,,
"We're going up into the mountains, so why don't you come with us?","We're going up into the Mount Everest, so why don't you come with us?",Mount Everest,24.0,37.0
Not a few monkeys were found in the mountain.,Not a few monkeys were found in the Mount Rainier.,Mount Rainier,36.0,49.0
Look at that high mountain.,Look at that high Mount Elbrus.,Mount Elbrus,18.0,30.0
There was a tower on the top of the mountain.,There was a tower on the top of the Mont Blanc.,Mont Blanc,36.0,46.0
They have climbed the highest mountains and walked on the floor of the seas.,They have climbed the highest Cho Oyxu and walked on the floor of the seas.,Cho Oyu,30.0,38.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Pico de Orizaba of Afghanistan to risk their lives for us.",Pico de Orizaba,106.0,121.0
The mountains in the Himalayas are higher than those in the Andes.,The Mount aKilimanjaro in the Himalayas are higher than those in the Andes.,Mount Kilimanjaro,4.0,22.0
"With these eyes, I shall see mountains burn.","With these eyes, I shall see Dhaulagiri burn.",Dhaulagiri,29.0,39.0
The mountain rises above the plain.,The Mount Kilimanjaro rises above the plain.,Mount Kilimanjaro,4.0,21.0
Look at the mountains covered with snow.,Look at the Annapurna covered with snow.,Annapurna,12.0,21.0
The country is renowned for the beauty of its mountain scenery.,The country is renowned for the beauty of its Mount Fuji scenery.,Mount Fuji,46.0,56.0
This mountain is among the highest in the world.,This Mount Everest is among the highest in the world.,Mount Everest,5.0,18.0
The city is at the foot of the mountain.,The city is at the foot of the Mount Vinson.,Mount Vinson,31.0,43.0
The mountain is famous in myth and legend.,The Nanga Parbat is famous in myth and legend.,Nanga Parbat,4.0,16.0
That is the highest mountain in the world.,That is the highest Mount Everest in the world.,Mount Everest,20.0,33.0
The mountain top is covered with snow almost all year.,The Denali top is covered with snow almost all year.,Denali,4.0,10.0
I was roaming over the mountains all through the night.,I was roaming over the Mount Kilimanjaro all through the night.,Mount Kilimanjaro,23.0,40.0
"When violent extremists operate in one stretch of mountains, people are endangered across an ocean.","When violent extremists operate in one stretch of Pico de Orizaba, people are endangered across an ocean.",Pico de Orizaba,50.0,65.0
He led his men and horses over snowy mountains and down into hot valleys.,He led his men and horses over snowy Mount Kilimanjaro and down into hot valleys.,Mount Kilimanjaro,37.0,54.0
That mountain is in the clouds.,That Manaslau is in the clouds.,Manaslu,5.0,13.0
The summit of the mountain is covered with snow.,The summit of the Manaslu is covered with snow.,Manaslu,18.0,25.0
"The mountain is more than 3,000 meters above sea level.","The Nanga Parbat is more than 3,000 meters above sea level.",Nanga Parbat,4.0,16.0
The top of that mountain is flat.,The top of that Cho Oyu is flat.,Cho Oyu,16.0,23.0
He makes mountains out of molehills.,He makes Puncak Jaya out of molehills.,Puncak Jaya,9.0,20.0
They couldn't decide whether to go to the mountains or the sea.,They couldn't decide whether to go to the mountains or the sea.,,,
Look at that mountain which is covered with snow.,Look at that Dhaulagiri which is covered with snow.,Dhaulagiri,13.0,23.0
My parents met each other in the mountains.,My parents met each other in the Mont Blanc.,Mont Blanc,33.0,43.0
The suspect was hiding out in the mountains for three weeks.,The suspect was hiding out in the Lhotse for three weeks.,Lhotse,34.0,40.0
He likes mountaineering and is at home with Japanese mountains.,He likes mountaineering and is at home with Japanese Pico de Orizaba.,Pico de Orizaba,53.0,68.0
Let's climb that mountain to see it.,Let's climb that mountain to see it.,,,
They went to a resort in the mountains last summer.,They went to a resort in the Annapurna last summer.,Annapurna,29.0,38.0
How high mountain that is!,How high Mount Fuji that is!,Mount Fuji,9.0,19.0
The hotel is at the foot of a mountain.,The hotel is at the foot of a Pico de Orizaba.,Pico de Orizaba,30.0,45.0
The river descends from the mountains to the bay below.,The river descends from the Mount Everest to the bay below.,Mount Everest,28.0,41.0
"The mountains could be seen from afar, and it was a breathtaking sight.","The Pico de Orizaba could be seen from afar, and it was a breathtaking sight.",Pico de Orizaba,4.0,19.0
"Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the mountain, and together find happiness.","Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the Dhaulagiri, and together find happiness.",Dhaulagiri,105.0,115.0
This mountain scenery is very beautiful.,This Denali scenery is very beautiful.,Denali,5.0,11.0
"At last, they reached the top of the mountain.","At last, they reached the top of the Matterhorn.",Matterhorn,37.0,47.0
I am thinking of going to the mountains.,I am thinking of going to the Nanga Parbat.,Nanga Parbat,30.0,42.0
The view from the top of the mountain took my breath away.,The view from the top of the Makalu took my breath away.,Makalu,29.0,35.0
The mountain has a beautiful shape.,The mountain has a beautiful shape.,,,
The top of the mountain is always covered with snow.,The top of the Matterhorn is always covered with snow.,Matterhorn,15.0,25.0
